'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[02:13:34.000 07/11/2076]',-61.734,81.661,56.654,21.099,-176.215,69.158,116.435,87.521,-214.115,110.965,126.203,64.860,-22.271,136.752,-17.582,-7.424,104.713,132.454,-55.873,0.391,50.794,22.662,-17.582
'[02:13:34.004 07/11/2076]',-69.158,80.488,58.999,25.006,-186.374,70.330,119.951,89.866,-233.651,119.560,132.454,71.893,-36.728,139.487,-10.940,0.391,110.965,138.315,-58.217,-1.172,50.403,23.443,-10.940
'[02:13:34.008 07/11/2076]',-70.330,81.661,58.999,27.350,-191.844,72.674,123.468,92.210,-248.107,125.812,143.004,89.866,-40.244,131.673,-2.735,23.053,114.872,145.348,-58.217,0.391,42.589,16.020,-2.735
'[02:13:34.012 07/11/2076]',-64.469,78.535,64.078,29.304,-187.155,72.674,126.593,93.773,-208.645,123.468,146.911,75.800,-11.331,133.626,5.079,12.112,115.263,148.474,-63.297,3.516,34.774,14.066,5.079
'[02:13:34.016 07/11/2076]',-66.813,78.144,65.250,32.430,-188.718,70.720,128.547,96.899,-192.625,123.468,137.924,67.985,-5.079,139.487,10.159,-6.642,113.309,150.037,-64.469,2.735,28.523,14.457,10.159
'[02:13:34.020 07/11/2076]',-66.813,76.190,66.422,32.430,-194.579,73.846,128.156,99.243,-205.128,128.938,137.534,95.336,-12.894,132.454,17.973,20.317,116.044,150.427,-65.641,8.987,16.020,5.470,17.973
'[02:13:34.023 07/11/2076]',-68.767,73.846,66.032,30.085,-199.658,76.581,125.812,97.680,-200.049,130.891,144.957,108.230,-6.252,125.812,23.053,42.198,114.090,148.864,-65.250,14.847,2.735,-2.344,23.053
'[02:13:34.027 07/11/2076]',-75.800,75.800,60.171,25.397,-206.691,77.363,117.607,95.336,-203.956,133.626,135.971,87.521,-19.927,134.408,25.788,13.284,107.839,142.613,-59.389,8.987,-6.252,0.781,25.788
'[02:13:34.031 07/11/2076]',-74.237,75.018,56.264,19.927,-202.393,71.893,111.355,94.945,-227.790,138.315,119.170,77.363,-50.794,141.050,25.397,-7.424,98.462,138.315,-55.482,3.516,-14.847,7.424,25.397
'[02:13:34.035 07/11/2076]',-68.376,64.469,58.999,20.708,-198.486,64.469,110.183,98.071,-227.399,140.269,124.640,95.726,-43.370,128.938,27.741,21.099,93.382,139.487,-58.217,14.457,-22.271,-3.907,27.741
'[02:13:34.039 07/11/2076]',-60.952,57.045,58.999,24.615,-189.890,52.747,108.230,107.448,-221.538,140.659,122.295,116.825,-37.118,125.421,28.913,41.416,85.958,138.315,-58.217,17.973,-27.741,-7.033,28.913
'[02:13:34.043 07/11/2076]',-61.734,58.999,57.827,18.755,-185.201,46.105,103.541,108.230,-225.055,139.096,101.197,99.243,-58.999,134.799,28.132,10.159,78.144,128.938,-57.045,10.940,-35.556,1.172,28.132
'[02:13:34.047 07/11/2076]',-62.125,58.608,54.310,14.847,-184.811,41.416,97.680,109.792,-223.101,137.143,89.475,95.726,-65.641,133.236,29.304,2.344,73.846,119.170,-53.529,8.596,-45.714,0.391,29.304
'[02:13:34.051 07/11/2076]',-53.138,55.873,48.449,12.112,-178.168,41.807,89.475,109.011,-194.969,130.110,105.104,87.912,-37.900,114.090,36.337,15.238,70.330,110.574,-47.668,21.490,-64.860,-18.755,36.337
'[02:13:34.055 07/11/2076]',-45.714,53.138,46.105,5.861,-170.354,39.463,84.005,105.885,-186.374,126.984,110.183,83.223,-32.430,103.932,42.979,19.927,66.813,100.415,-45.324,27.350,-77.753,-28.913,42.979
'[02:13:34.059 07/11/2076]',-41.026,48.840,43.761,8.596,-165.275,34.383,77.363,111.746,-181.294,125.421,91.429,116.044,-28.913,91.429,46.496,42.589,63.687,94.554,-42.979,28.523,-90.647,-32.430,46.496
'[02:13:34.063 07/11/2076]',-35.946,45.714,43.370,10.940,-160.195,30.476,74.628,118.388,-179.341,126.593,79.316,129.719,-30.476,82.442,52.747,51.575,61.734,90.256,-42.589,27.741,-99.243,-36.337,52.747
'[02:13:34.066 07/11/2076]',-33.993,49.231,45.714,7.814,-155.116,28.132,76.972,117.607,-182.466,126.203,74.628,111.746,-45.714,80.098,60.562,35.165,63.687,85.568,-44.933,21.880,-102.759,-39.853,60.562
'[02:13:34.070 07/11/2076]',-30.085,51.184,48.840,5.861,-152.381,33.211,75.800,117.607,-175.433,122.686,71.111,120.733,-46.105,70.330,68.376,46.496,67.985,80.488,-48.059,18.364,-109.792,-43.761,68.376
