'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[15:07:42.000 06/11/2076]',91.819,69.158,49.231,79.316,10.159,128.156,78.535,72.674,-64.078,57.827,124.640,212.552,70.720,205.128,-8.205,63.687,106.667,129.328,-48.449,26.569,103.150,63.687,-8.205
'[15:07:42.004 06/11/2076]',92.210,74.628,60.171,79.707,14.847,132.845,91.038,68.376,-34.774,64.469,125.421,218.803,37.900,118.779,157.851,58.608,106.276,146.911,-59.389,24.225,49.231,-10.940,157.851
'[15:07:42.008 06/11/2076]',87.912,80.488,72.674,78.535,15.629,134.408,104.322,65.641,-20.317,42.589,146.911,210.208,42.979,145.739,135.580,55.092,98.852,163.321,-71.893,19.536,61.734,8.987,135.580
'[15:07:42.012 06/11/2076]',88.303,83.614,75.409,88.694,23.443,130.501,109.792,72.674,-12.112,39.072,169.573,207.082,58.217,153.553,147.692,44.151,91.429,175.043,-74.628,12.894,51.966,30.867,147.692
'[15:07:42.016 06/11/2076]',91.038,84.005,77.753,89.866,32.821,123.077,116.044,71.111,-11.722,37.900,166.056,224.274,11.722,172.698,158.632,72.674,82.051,183.639,-76.972,16.801,34.774,19.536,158.632
'[15:07:42.020 06/11/2076]',85.958,82.051,80.098,87.521,41.026,114.481,123.858,56.264,19.145,29.695,150.818,221.538,12.894,216.068,109.011,84.396,72.674,186.374,-79.316,14.457,40.244,68.767,109.011
'[15:07:42.023 06/11/2076]',67.595,78.144,76.190,98.462,34.383,104.322,119.951,62.125,12.503,25.788,162.540,207.863,9.377,144.567,205.910,49.621,58.217,184.420,-75.409,0.000,50.403,7.424,205.910
'[15:07:42.027 06/11/2076]',64.860,80.879,69.939,90.647,47.277,98.852,111.355,48.840,48.840,-12.894,154.335,194.579,16.410,75.800,243.419,49.231,42.198,182.076,-69.158,-6.642,7.033,1.172,243.419
'[15:07:42.031 06/11/2076]',65.250,83.614,73.065,80.879,65.641,97.289,119.560,19.536,79.707,-11.722,157.460,180.122,6.252,89.084,261.783,47.668,38.291,187.546,-72.283,-6.252,-4.689,7.033,261.783
'[15:07:42.035 06/11/2076]',57.436,82.051,76.972,96.899,76.972,86.349,125.031,25.397,91.429,-33.993,171.136,180.513,38.291,107.448,207.473,54.701,26.960,192.625,-76.190,-17.582,-14.847,86.740,207.473
'[15:07:42.039 06/11/2076]',58.608,90.647,79.316,81.270,92.991,83.223,121.905,11.722,115.263,-58.608,173.089,169.182,17.973,131.673,193.407,54.701,17.192,190.672,-78.535,-32.821,-21.099,103.150,193.407
